iteration,timestamp,episodes_count,batches_count,supabase_duration_seconds,triform_duration_seconds,triform_status_code,triform_response_text
1,2025-10-30 20:38:51,300,15,8.61,96.977,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
2,2025-10-30 20:40:37,300,15,5.43,121.507,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
3,2025-10-30 20:42:44,300,15,6.184,126.984,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
4,2025-10-30 20:44:57,300,15,5.335,135.454,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
5,2025-10-30 20:47:18,300,15,5.208,99.844,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
6,2025-10-30 20:49:03,300,15,4.798,106.794,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
1,2025-10-30 20:59:08,300,15,6.786,134.467,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
2,2025-10-30 21:01:31,300,15,5.391,110.534,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
3,2025-10-30 21:03:29,300,15,5.235,108.165,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
4,2025-10-30 21:05:24,300,15,6.394,137.515,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
5,2025-10-30 21:07:50,300,15,5.507,117.319,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
6,2025-10-30 21:09:55,300,15,5.349,111.803,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
7,2025-10-30 21:11:54,300,15,4.792,121.455,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
8,2025-10-30 21:14:02,300,15,4.724,106.524,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
9,2025-10-30 21:15:56,300,15,6.884,128.372,200,"{""error"":false,""result"":{""episode_id"":null,""error_message"":[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null],""success"":[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]}}"
